id,route,stop_sequence_new,sequence,hr,min,INT_ID
160486062,306,11,11,4,5,13462284.0
160486062,306,12,12,4,6,13461912.0
160486062,306,13,13,4,6,13461602.0
160486062,306,14,14,4,6,13461421.0
160486062,306,15,15,4,7,13461235.0
160486062,306,16,16,4,7,13461057.0
160486062,306,17,17,4,7,13460922.0
160486062,306,18,18,4,8,13460822.0
160486064,354,1,1,4,0,301.0
160486064,354,2,2,4,1,13449905.0
160486064,354,3,3,4,2,13449830.0
160486064,354,4,5,4,3,13449608.0
160486064,354,5,6,4,3,13449501.0
160486064,354,6,7,4,4,13449378.0
160486064,354,7,8,4,5,13449204.0
160486064,354,8,9,4,6,13449023.0
